Code;Name
10DB;ICICI BK US$250M 4.8%N190522TR
10GB;TORAY YEN50B CB190830
10HB;TORAY YEN50B CB210831
10IB;KOREA US$1B 4.125%N440610
10JB;KOREA EUR750M 2.125%N240610
10KB;SMRT CAP S$100M 3.072% N240611
10LB;BRAMBLESEUR500M2.375%N240612
10MB;BAIDU INC. US$1B2.75%N190609
10NB;ASPIAL S$85M5.05%N190612
10OB;SM INVEST US$350M4.875%N240610
10QB;SHUIONDEV US$550M9.625%N190610
10RB;YAMADA DENKI YEN100B CB190628
10SB;KEB HANABKUS$500M2.5%N190612A
10TB;KEB HANABKUS$500M2.5%N190612R
10UB;MCC US$500M 2.625%N170616
10VB;GS CALTEX US$400M3%N190618R
10WB;GS CALTEX US$400M3%N190618A
10ZB;OCBC US$1B4.25% N240619A
11AB;OCBC US$1B4.25% N240619R
11BB;MACQUARIEBANK US$50M ZN440619
11CB;MACQUARIEBANK US$50M ZN440620
11DB;PTTEP&P US$1B4.875%PERCAPA
11EB;PTTEP&P US$1B4.875%PERCAPR
11FB;NOBLEGROUPUS$350M6%PERCAPSEC
11GB;KRUNGTHAIBK US$700M5.2% 241226
11HB;CHHONGQIAOUS$400M7.625%N170626
11IB;KOH BROTHERS S$50M4.8%N180102
11JB;ZHEN DING TECH US$300MCB190626
11KB;THEBKEASTAUS$100M2.08%170626
11LB;SGSP (AUST) EUR500M2%220630
11MB;21VIANETGPRMB2B6.875%B170626
11NB;SRILANKA AIRUS$175M5.3%B190627
11OB;EXP-IMPBKK INR2B7%170627
11PB;TIONGSENG S$75M4.75%N180103
11QB;KOREAGAS US$500M3.5%N260702R
11RB;KOREAGAS US$500M3.5%N260702A
11SB;PAKUWON PR US$168M7.125%190702
11TB;AMBANK(M) US$400M3.125%190703
11UB;EXP-IMPBKK US$30M3.3%240707
11WB;INDONESIAEUR1B2.875%210708A
11XB;INDONESIAEUR1B2.875%210708R
11YB;KOREA GAS USD100M3.577%N290707
11ZB;KORNATOILUSD550M3.25%N240710R
12AB;KORNATOILUSD550M3.25%N240710A
12BB;THEBKEASTA S$50M2%170710
12EB;KORNATOILUS$250M2.75%N190123TR
12FB;WILMARINTL EUR100M3.027%210717
12GB;KOOKMINBKUS$500M1.625%N170714R
12HB;KOOKMINBKUS$500M1.625%N170714A
12IB;COMPANHIA US$400M4.75%N240617R
12JB;COMPANHIA US$400M4.75%N240617A
12KB;KOREA GAS USD150M3.577%N290707
12NB;SUMITOMITBK US$1B1.35%N170711
12OB;SUMITOMITBK US$1B2.25%N190711
12PB;SUMITOMITBK US$500M3.4%N240711
12QB;SUMITOMITBK US$500MF170711
12RB;GOLDEN DEV CNY300M5%N170716
12SB;PACIFIC INTL S$300M5.9%N170717
12TB;GEO ENERGY S$100M7%N180118
12UB;MILLENNIUM &COP US$100MF190718
12VB;SUZLOUS$546.916M3.25%CB190716A
12WB;SUZLOUS$546.916M3.25%CB190716R
12XB;DBS GRP US$750M2.246% N190716A
12YB;DBS GRP US$750M2.246% N190716R
12ZB;DBS GRP US$500M F190716A
13AB;DBS GRP US$500M F190716R
13BB;ONGCVIDESH US$750M3.25%N190715
13CB;ONGCVIDESHUS$750M4.625%N240715
13DB;NEOSOLARPOWER US$120MCB170718
13EB;OLAM S$400M4.25%N190722
13FB;FUTURELANDUS$350M10.25%190721
13HB;BOCAVIATIONA$200M5.375%200124
13IB;MITSU UFJ US$500MF190723
13JB;SEVEN&SEVEN US$125.25MF190911A
13KB;SEVEN&SEVEN US$125.25MF190911R
13LB;CIMPORFIN US$750M5.75%N240717A
13MB;CIMPORFIN US$750M5.75%N240717R
13NB;ANSTOCKII US$300M2.125%B170724
13OB;HDB S$900M3.1%N240724
13QB;HALCYONAGRI S$125M6.5%N190731
13SB;ROLTAAMERUS$300M8.875%N190724A
13TB;ROLTAAMERUS$300M8.875%N190724R
13UB;GCX  US$350M7%N190801A
13VB;GCX  US$350M7%N190801R
13WB;MODERNLANDUSD125M12.75%N190731
13YB;GREENKO US$550M8%N190801A
13ZB;GREENKO US$550M8%N190801R
14AB;PACIFICANDES S$200M8.5%B170730
14BB;CMT MTN S$300M3.48%N240806
14CB;CENTRALNIPPUS$500M2.17%B190805
14DB;MARQUEEUS$98.448M9.75%N190805A
14EB;MARQUEEUS$98.448M9.75%N190805R
14FB;OLAM US$300M4.5%N200205
14HB;EXP-IMPBKK INR1.803B6.4%170807
14IB;EXP-IMPBKK US$500M3.25%260812
14JB;EXP-IMPBKK US$500M2.375%190812
14MB;CCT MTN S$50M2.98%N210214
14NB;SHANGHAI ELECT US$500M3%190814
14OB;COCACOLAAM A$100M4.25%N210812
14QB;NAM CHEONG S$200M5.05%N190826
14RB;EXP-IMPBKK NZD100M5.125%190827
14SB;ASCENDASITRUSTS$50M3.8%N190827
14UB;CAPITALDTRE S$500M3.8%N240828
14VB;EXP-IMPBKK IDR500B8%180515
